0,1183,340
0,4407,183
1,2177,357
1,4230,480
2,425,224
2,4489,94
3,4960,49
3,9325,243
4,2242,379
4,9913,395
5,6156,447
5,9889,351
6,6371,46
6,9977,145
7,5656,14
7,9635,261
8,5554,124
8,6964,344
9,1563,118
9,1673,497
10,6282,430
10,7059,218
11,1101,434
11,7463,175
12,7948,139
12,9713,60
13,2598,223
13,3168,97
14,1921,236
14,2978,195
15,2496,331
15,2729,302
16,1151,431
16,1510,49
17,7237,353
17,9197,149
18,5151,384
18,5152,240
19,1333,499
19,5000,11
20,6041,99
20,8773,17
21,4763,410
21,7583,191
22,1001,291
22,8652,206
23,455,108
23,9820,180
24,7690,121
24,8627,390
25,1536,316
25,4412,57
26,1702,429
26,8637,209
27,1560,186
27,9174,170
28,559,257
28,8020,66
29,2015,386
29,3069,5
30,2723,411
30,9518,111
31,2215,207
31,7020,351
32,1807,353
32,2458,129
33,2,419
33,6325,445
34,896,121
34,4569,42
35,2828,90
35,6206,231
36,1564,271
36,8204,269
37,2065,116
37,2661,181
38,345,120
38,6147,348
39,4876,310
39,5641,235
40,8365,355
40,9804,310
41,4534,291
41,9337,355
42,6793,400
42,7649,350
43,3694,490
44,562,411
44,8258,420
45,2797,370
45,3912,90
46,928,471
46,7152,460
47,5063,353
47,5671,158
48,1162,499
48,7121,98
49,4645,281
49,7828,80
50,3827,4
50,8843,370
51,34,378
51,9593,460
52,418,105
52,5041,305
53,4572,326
53,7953,241
54,964,220
54,8509,453
55,2513,294
55,5510,129
56,875,98
56,9853,3
57,1206,188
57,9179,376
58,5532,392
58,6208,439
59,7117,393
59,7492,488
60,6671,189
61,3540,350
61,4124,477
62,934,380
62,7971,373
63,3830,27
63,6969,322
64,392,18
64,2449,399
65,5112,348
65,9433,380
66,8355,70
66,9381,237
67,3975,82
67,5451,250
68,3017,339
68,8153,59
69,4757,15
69,6654,97
70,2130,360
70,2209,374
71,5267,480
71,7317,211
72,306,374
72,5421,335
73,3846,430
73,4313,271
74,1600,426
74,9071,42
75,7261,315
75,8915,278
76,2467,103
76,6339,48
77,1088,143
77,1145,273
78,4511,2
78,5647,231
79,5572,97
79,5884,403
80,855,22
80,3974,253
81,3041,285
81,3275,288
82,953,448
82,5678,117
83,3819,109
83,4845,245
84,6781,44
84,7176,61
85,9297,305
85,9692,208
86,440,10
86,9823,396
87,1748,402
87,2348,115
88,5638,417
88,7653,348
89,1051,18
89,4853,124
90,2851,46
90,6065,453
91,6498,280
91,9616,361
92,6251,349
92,9418,174
93,506,344
93,3777,406
94,1648,367
94,5010,409
95,3910,254
95,7442,303
96,4740,427
96,7447,140
97,6981,366
97,9106,486
98,7791,257
98,9822,95
99,1892,18
99,8554,477
100,4104,204
100,7922,312
101,6729,299
101,9541,96
102,6397,57
102,7712,331
103,1493,173
103,3674,319
104,8465,305
104,8753,129
105,5498,144
105,7423,155
106,2478,112
106,7886,358
107,2558,179
107,9147,35
108,2790,364
108,3989,96
109,2476,112
109,4522,151
110,2419,77
110,3569,105
111,1285,186
111,3954,95
112,3721,428
112,7698,224
113,1705,403
113,3464,53
114,101,461
114,5437,461
115,2374,165
115,2689,431
116,3848,405
116,5285,383
117,3402,14
117,9827,45
118,2565,8
118,5934,395
119,1786,212
119,4946,281
120,2733,491
120,7856,482
121,1468,491
121,7907,210
122,4011,373
122,8050,377
123,5922,453
123,7098,315
124,3200,402
124,9147,277
125,6305,323
125,7862,397
126,2881,413
126,5629,473
127,7524,7
127,8989,489
128,6415,302
128,7819,170
129,1779,57
129,3522,331
130,2057,222
130,5617,216
131,838,135
131,8779,219
132,9565,393
